date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
6/1/19 00:22,MayorJenny,,9,11,55,"Happy Pride, Seattle! June 1 is the official start of Pride Month here in Seattle. Thank you to everyone who joined us for the 7th annual @CityofSeattle Pride Flag raising. S/o to @IngersollGender and Seattle Indian Health Board for joining, and @SeattleLGBTQ, for planning!",,@CityofSeattle @IngersollGender @SeattleLGBTQ,,1.13E+18,https://twitter.com/MayorJenny/status/1134616106222673922
5/31/19 21:16,MayorJenny,,3,4,14,"I’m grateful to @CMLGonzalez for her partnership on these resolutions, and to our community leaders at @ProChoiceWA, @weareoneamerica, and @NWIRP for joining us today! #StopTheBans #DreamAndPromiseNow",,@CMLGonzalez @ProChoiceWA @weareoneamerica @NWIRP,#StopTheBans #DreamAndPromiseNow,1.13E+18,https://twitter.com/MayorJenny/status/1134569455223267328
5/31/19 21:16,MayorJenny,,12,9,71,"Today, I signed two important resolutions into law. One affirms Seattle’s support for the right to access safe and legal abortion, and the other encourages Congress to pass the American Dream and Promise Act now, so our immigrant neighbors can set on a pathway to citizenship.",,,,1.13E+18,https://twitter.com/MayorJenny/status/1134569305109139457
5/31/19 18:30,MayorJenny,,12,5,16,"Today, we are expanding the Navigation Team to help bring more people off the streets and into safer spaces. Our homelessness crisis requires urgent action and new steps - we will continue to invest in the strategies we know have an impact. https://durkan.seattle.gov/2019/05/mayor-jenny-durkan-announces-continued-expansion-of-citys-navigation-team-new-steps-to-connect-more-people-experiencing-homelessness-with-services/",,,,1.13E+18,https://twitter.com/MayorJenny/status/1134527478347771904
5/31/19 05:55,MayorJenny,,15,6,21,A big thank you to everyone who came out in South Park tonight - especially all the kids and families who joined me in the commitment to build a city of the future with more affordable housing!,,,,1.13E+18,https://twitter.com/MayorJenny/status/1134337708136943616
5/31/19 03:02,MayorJenny,,2,0,9,Thank you again to the South Park community for taking the time to join me tonight! Because getting out of City Hall and listening is the only way to do this job. Thank you!,,,,1.13E+18,https://twitter.com/MayorJenny/status/1134293940243296256
5/31/19 01:47,MayorJenny,,1,6,18,Thank you so much to all the South Park residents who are here tonight at our @CityofSeattle resource fair &amp; community conversation. Excited to be here to listen.,,@CityofSeattle,,1.13E+18,https://twitter.com/MayorJenny/status/1134275158913441792
5/30/19 20:05,MayorJenny,,9,2,7,"I am thankful to all the leaders who came together today at the @SoundRegion general assembly to discuss how our region can serve as a model for the nation. When we tackle big challenges together and work to build our region together, we are creating a better future for all.",,@SoundRegion,,1.13E+18,https://twitter.com/MayorJenny/status/1134188985205567488
5/30/19 00:05,MayorJenny,SeattleSPU,14,3,16,Meeting our 2050 carbon-neutral goal will require creative thinking from every corner of our City. Our new Green Fleet at @SeattleSPU is another example of Seattle leading the world and taking bold action to protect our communities from the impacts of climate change.,,@SeattleSPU,,1.13E+18,https://twitter.com/MayorJenny/status/1133887020604899328
5/29/19 19:30,MayorJenny,,183,21,111,"Today, @kcexec and I announced $5.6M in funding for legal services for our immigrant and refugee neighbors at risk of deportation. Unlike this president, Seattle knows that immigrants and refugees are part of our heritage. Learn more here:",,@kcexec,,1.13E+18,https://twitter.com/MayorJenny/status/1133817830963666944
